ردیف,priority,سال,بخش,ماده,بخش (ماده),موضوع,بند,خلاصه,شرح
193,1,1375,دهم,38,دهم (38),بیماری های خون,4,پلی گلبولی و ترومبوسیتوپنی اولیه,"پلی گلبولی اولیه (پلی سیتمی) و ترومبوسیتوپنی اولیه، معاف دائم"
194,1,1375,دهم,38,دهم (38),بیماری های خون,5,پورپوراها و ترمبوپاتی,"پورپوراهای ارثی و ترمبوپاتی ها، معاف دائم"
195,1,1375,دهم,38,دهم (38),بیماری های خون,6,فاکتورهای انعقادی,"کمبود و اختلال فاکتورهای انعقادی، معاف دائم"
196,1,1375,دهم,38,دهم (38),بیماری های خون,7,بدخیمی های خون,"بدخیمی های خون مانند لوسمی ها و دستگاه لنفاوی (مانندهوچکین) به طور کلی، معاف دائم"
197,1,1375,دهم,38,دهم (38),بیماری های خون,8,سندرم بانتی یا کم خونی اسپلنیک,"سندرم بانتی یا کم خونی اسپلنیک، معاف دائم"
198,1,1375,دهم,38,دهم (38),بیماری های خون,9,اختلالات ایمونولوژیک,"اختلالات ایمونولوژیک ارثی و اکتسابی با تایید مراکز درمانی نیروهای مسلح ج ا ا، معاف دائم"
199,1,1375,دهم,38,دهم (38),بیماری های خون,10,اگرانولوسیتوز,"اگرانولوسیتوز، معاف دائم"
200,1,1375,دهم,38,دهم (38),بیماری های خون,11,اختلالات بیولوژیکی مولکولی هموگلوبین ,"اختلالات بیولوژیکی مولکولی هموگلوبین با تایید مراکزدرمانی ن م ج ا:
الف) در مشمولان عادی، معاف دائم
ب ) در مشمولان دیپلم و بالاتر از دیپلم، خدمات غیررزمی"
201,1,1375,دهم,38,دهم (38),بیماری های خون,12,تالاسمی ماژور و آنمی سیکل سل,"تالاسمی ماژور و آنمی سیکل سل، معاف دائم"
202,1,1375,دهم,38,دهم (38),بیماری های خون,13,هیپراسپلینیزم,"هیپراسپلینیزم توأم با کمبود پلاکت ها یا گلبولهای سفید و قرمز، معاف دائم"
203,1,1375,دهم,38,دهم (38),بیماری های خون,14,فاویسم,بیماری فاویسم خدمات غیررزمی در نزدیکی مراکز درمانی
204,1,1375,دهم,38,دهم (38),بیماری های خون,15,آپلازی مغز استخوان,"آپلازی مغز استخوان به هر علت، معاف دائم"
205,1,1375,دهم,38,دهم (38),بیماری های خون,16,آنمی در اثر مسمومیتهای مزمن,"آنمی در اثر مسمومیتهای مزمن و ناتوان کننده از فلزات و مواد شیمیایی مانند منگنز، جیوه، سرب، سولفور کربن، تتراکلرورکربن و غیره، معاف دائم"
206,1,1375,دهم,38,دهم (38),بیماری های خون,17,ویلبرانت,"بیماری ویلبرانت، معاف دائم"
207,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,1,انسداد ادراری ,"انسداد ادراری به دلایل عضوی یا عفونی یا فونکسیون:
الف) در صورتی که برطرف کردن انسداد امکانپذیر باشد، خدمات غیررزمی
ب) در صورت عدم امکان برطرف کردن انسداد، معاف دائم"
208,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,2,برگشت ادرار به حالب ها,"برگشت ادرار به حالب ها:
الف) اگر دو طرفه یا یک طرفه شدید باشد، معاف دایم
ب)یک طرفه و خفیف، خدمات غیررزمی"
209,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,3,بیماریهای عفونی مزمن,"بیماریهای عفونی مزمن ( سلی میکروبی انگلی قارچی ) کلیه، لگنچه، حالب، مثانه، بیضه ها، مجرای ادرار، هر یک به تفکیک، معاف دائم"
210,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,4,وجود سنگ ادراری ,"سنگهای (کلیه، پروستات، مثانه) موجود، یک سال معاف موقت"
211,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,5,سابقه عمل سنگ ادراری,"سنگهای (حالب، کلیه، مثانه) عمل شده، خدمات غیررزمی"
212,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,6,تومورهای خوش خیم سیستم ادراری-دستگاه تناسلی,"تومورهای خوش خیم سیستم ادراری-دستگاه تناسلی:
الف) در صورتی که منجر به اختلال عملی شود، معاف دائم
ب) در غیر این صورت معاف از رزم"
213,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,7,بیماریهای سورنال,"بیماریهای سورنال (کم کاری و پر کاری سورنال)، تومورهای خوش خیم و بدخیم سورنال، معاف دائم"
214,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,8,بیماریهای رتروپریتوان,"بیماریهای رتروپریتوان، فیبروز رتروپریتوان، تومورهای خوش خیم و بدخیم و کیست های رتروپریتوان، معاف دائم"
215,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,9,بیماری های طبی کلیه,"سندرم نفروتیک، گلومرولونفریت مزمن، پیلونفریت مزمن، بیماریهای کلاژن کلیه، پروتیین اوری و هماتوری اسانسیل و نارسایی مزمن کلیه، معاف دائم"
216,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,10,گلومرولونفریت و پیلونفریت حاد,"گلومرولونفریت و پیلونفریت حاد، 6 ماه معاف موقت"
217,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,11,پایین افتادگی احشا,"پایین افتادگی احشا:
الف) نوع خفیف، خدمات غیررزمی
ب) در غیر این صورت معاف دائم"
218,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,12,هیدرونفروس,"هیدرونفروس و اتساع لگنچه، معاف دائم"
219,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,13,نفرکتومی,"نفرکتومی یک طرفه، نفرکتومی پارسیل و پیلوپلاستی، معاف دائم"
220,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,14,ناهنجاری های کلیه,"کلیه نعل اسبی، کلیه اکتوپیک داخل لگن، اکتوپی یکطرفه (یعنی هر دو کلیه در یک طرف قرار گرفته باشند)، معاف دائم"
221,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,15,پتوز کلیه,"پتوز کلیه:
الف) درجه 2 خدمات غیررزمی
ب) درجه 3 معاف دائم"
222,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,16,اختلال رشد کلیه,"هیپوپلازی و آپلازی و آژنزی کلیه، معاف دائم"
223,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,17,کلیه میان اسفنجی,"کلیه میان اسفنجی، معاف دائم"
224,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,18,فیستول سیستم ادراری,"فیستول سیستم ادراری به دستگاه گوارش یا پوست، معاف دائم"
225,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,19,نکروز کورتکس کلیه,"نکروز کورتکس کلیه:
الف) در صورتی که منجر به نارسایی یا کم کاری کلیه شده باشد، معاف دائم
ب) در سایر موارد، خدمات غیررزمی"
226,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,20,پیوند کلیه,"پیوند کلیه، معاف دائم"
227,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,21,بیماریهای عروقی کلیه,"بیماریهای عروقی کلیه مثل آنوریسم شریان کلیوی، انفارکتوس کلیه، ترومبوز ورید کلیوی، فیستول شریانی وریدی، آنوریسم شریانی وریدی، معاف دائم"
228,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,22,دوبلیکاسیون حالب,"دوبلیکاسیون حالب در صورتی که هر حالب به طور جداگانه تا مثانه ادامه داشته باشد، معاف دائم"
229,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,23,مگااورتر,"مگااورتر، خدمات غیررزمی"
230,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,24,هیدوراورتر,"هیدوراورتر، معاف دائم"
231,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,25,اورتروسل,"اورتروسل یک طرفه یا دو طرفه، خدمات غیررزمی"
232,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,26,مثانه نوروژنیک,"مثانه نوروژنیک، معاف دائم"
233,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,27,کاهش ظرفیت مثانه,"کاهش ظرفیت مثانه به دلایل اعمال جراحی قبلی یا سیستیت و یا رادیوتراپی، معاف دائم"
234,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,28,سیستکتومی,"سیستکتومی توتال و پارسیل، معاف دائم"
235,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,29,تنگی گردن مثانه,"تنگی گردن مثانه:
الف) بدون عارضه، خدمات غیررزمی
ب) در صورتی که عارضه داشته باشد بر حسب عارضه اظهار نظر شود."
236,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,30,کاهش قدرت انقباضی مثانه,"از بین رفتن قدرت انقباضی گردن مثانه که منجر به بی اختیاری ادرار شود، معاف دائم"
237,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,31,هیپوسپادیاز,"هیپوسپادیاز تنه آلت و میان دو راه، معاف دائم (هیپوسپادیاز درجه یک مانع خدمتی ندارد.)"
238,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,32,اپیسپادیاز,"اپیسپادیاز، معاف دائم"
239,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,33,فیستول های مجرا,"انواع فیستول های مجرا به تنه آلت، رکتوم و پرینه و اسکروتوم، معاف دائم"
240,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,34,بیماری پیرونی,"بیماری پیرونی:
الف) نوع شدید، معاف دائم
ب) نوع خفیف، خدمات غیررزمی"
241,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,35,دیورتیکول مجرا,"دیورتیکول مجرا، معاف دائم"
242,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,36,سایر بیماری مجرا,"تنگی شدید مجرا، انواع والوهای مجرای خلفی، تومورهای خوش خیم و بدخیم مجرا، اورتریتهای مزمن غیرقابل درمان، معاف دائم"
243,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,37,بیماریهای مقاربتی,"بیماریهای مقاربتی اگر در ناحیه عقبی مجرا و آلتدفرماسیون ایجاد کرده یا به فیبروز و یا تنگی مجرا منجر شود، معاف دائم"
244,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,38,هیدروسل,"هیدروسل:
الف) نوع حجیم، معاف دائم:
ب) سایر موارد، خدمات غیررزمی"
245,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,39,واریکوسل,"واریکوسل:
الف) درجه 1 و 2 خدمات غیررزمی
ب) درجه 3، معاف دائم"
246,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,40,تورسیون حاد بیضه,تورسیون حاد بیضه شش ماه معاف موقت
247,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,41,اکتوپی و یا فقدان بیضه,"اکتوپی و یا فقدان بیضه:
الف) دو طرفه، معاف دائم
ب ) یک طرفه، خدمات غیررزمی"
248,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,42,آتروفی شدید بیضه,"آتروفی شدید بیضه:
الف) دوطرفه، معاف دائم
ب) یک طرفه، خدمات غیررزمی"
249,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,43,هماتوسل حاد,"هماتوسل حاد، 6 ماه معاف موقت"
250,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,44,شکستگی آلت,"شکستگی آلت، خدمات غیررزمی"
251,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,45,اپیدیدیم اکتومی,"اپیدیدیم کتومی:
الف) دوطرفه، معاف دائم
ب) یکطرفه، خدمات غیررزمی"
252,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,46,فقدان آلت,"فقدان آلت، معاف دائم"
253,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,47,ترمبوفلبیت,"ترمبوفلبیت وریدهای سطحی آلت، 6 ماه معاف موقت"
254,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,48,دو جنسی,"دو جنسی، معاف دائم"
255,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,49,بی اختیاری ادراری و شب ادراری,"بی اختیاری ادراری و شب ادراری به شرط ثبوت در بیمارستانهای نیروهای مسلح، معاف دائم"
256,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,50,تغییر مسیر ادراری,"تغییر مسیر ادراری با عمل جراحی، معاف دائم"
257,1,1375,یازدهم,39,یازدهم (39),بیماریهای دستگاه ادراری تناسلی,51,بیماریهای طناب منوی,"هیدروسل طناب منوی، اپیدمیت مزمن کیستهای طناب منوی، خدمات غیررزمی"
258,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,1,ناهنجاریهای استخوانی فک,"ناهنجاریهای استخوانی فک و صورت که موجب اختلال در عمل جویدن یا تکلم باشد، معاف دائم"
259,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,2,آنکیلوز,"آنکیلوز مفصل تامپو گزیلار یک طرفی و دو طرفی، معاف دائم"
260,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,3,تومورهای خوش خیم صورت,"تومورهای خوش خیم در صورتی که از لحاظ حجم و موقعیت ایجاد اختلال در جویدن و یا در تکلم بنماید، معاف دائم"
261,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,4,کام شکاف دار ,"کام شکاف دار همراه یا بدون لب شکری:
الف) عمل نشده، معاف دائم
ب) عمل شده با عارضه تنفسی، معاف دائم
ج) عمل شده بدون عارضه، خدمات غیررزمی"
262,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,5,استئومیلیت فک,"استئومیلیت های استخوانهای فک که بعد از درمان منجر به ناهنجاری مشهود استخوانهای فک و صورت شوند، معاف دائم"
263,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,6,مال فورماسیونهای زبان,"مال فورماسیونهای زبان مانند آنکیلوگلوسی، آتروفی و هیپرتروفی زبان، شکاف برداشتن و یا دو قطعه شدن زبان که موجب اختلال در جویدن و تکلم و یا بلع شود، معاف دائم"
264,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,7,پارالیزی عصب فاسیال,"پارالیزی عصب فاسیال مقاوم به درمان، یک سال معاف موقت"
265,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,8,از بین رفتن دندان ها,"از بین رفتن دندان ها به طوری که در مجموع در دهان کمتر از 14 دندان باشد، معاف دائم"
266,1,1375,دوازدهم,40,دوازدهم (40),بیماری فک و دهان و دندان,9,تومورهای بدخیم فک و دهان,"تومورهای بدخیم فک و دهان غدد بزاقی و تومور وارتون، معاف دائم"
267,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,1,هیپرمتروپی برای مشمولان عادی ودیپلم,"هیپرمتروپی با سایکلوپلژی کامل برای مشمولان عادی و دیپلم:
الف) هیپرمتروپی از 2.5 تا 4 دیوپتر داخل هر یک از چشمها، خدمات غیررزمی
ب) مجموع دیوپتر هیپرمتروپی دو چشم از پنج تا هشت دیوپتر داخل، خدمات غیررزمی
ج) هیپرمتروپی بیش از چهار دیوپتری یک چشم تا پنج دیوپتر داخل، خدمات غیررزمی
د) هیپرمتروپی بیش از چهار دیوپتری هر یک از چشمها، معاف دائم
ه) مجموع دیوپتر هیپرمتروپی هر دو چشم بیش از هشت دیوپتری، معاف دائم
و) هیپرمتروپی بیش از پنج دیوپتری یک چشم، معاف دائم"
268,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,2,هیپرمتروپی در مشمولان بالاتر از دیپلم,"هیپرمتروپی باسایکلوپلژی کامل در مشمولان بالاتر از دیپلم:
الف) هیپرمتروپی از 3 تا 5 دیوپتر داخل هر یک از چشمها، خدمات غیررزمی
ب) مجموع دیوپتر هیپرمتروپی دو چشم از شش تا 10 دیوپتر داخل، خدمات غیررزمی
ج) هیپرمتروپی بیش از پنج دیوپتری یک چشم تا شش دیوپتر داخل، خدمات غیررزمی
د) مجموع دیوپتر هیپرمتروپی هر دو چشم بیش از 10 دیوپتر، معاف دائم
ه) هیپرمتروپی بیش از شش دیوپتری یک چشم، معاف دائم"
269,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,3,میوپی در مشمولان عادی و دیپلم,"میوپی با سایکلوپلژی در مشمولان عادی و دیپلم:
الف) میوبی از 2.5 تا 4 دیوپتری داخل هر یک از چشمها، خدمات غیررزمی
ب) مجموع دیوپتر میوپی از 5 تا 8 دیوپتر داخل هر دو چشم، خدمات غیررزمی
ج) میوپی بیش از پنج دیوپتری یک چشم تا شش دیوپتر داخل، خدمات غیررزمی
د) میوپی بیش از چهار دیوپتری هر یک از چشمها، معاف دائم
ه) مجموع دیوپتر میوپی بیش از هشت دیوپتری هر دو چشم معاف دائم
و) میوپی بیش از شش دیوپتری یک چشم، معاف دائم"
270,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,4,میوپی در مشمولان بالاتر از دیپلم,"میوپی با سایکلوپلژی در مشمولان بالاتر از دیپلم:
الف) میوپی از 3 تا 5 دیوپتر داخل هر یک از چشم ها، خدمات غیررزمی
ب) مجموع دیوپتر میوپی بین 6 تا 10 دیوپتر داخل هر دو چشم، خدمات غیررزمی
ج) میوپی بیش از 6 دیوپتری یک چشم تا 7 دیوپتر داخل، خدمات غیررزمی
د) میوپی بیش از 5 دیوپتری هر یک از چشمها، معاف دائم
ه) مجموع دیوپتر میوپی بیش از 10 دیوپتری هر دو چشم، معاف دائم
و) میوپی بیش از هفت دیوپتری یک چشم، معاف دائم"
271,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,5,آستیگماتیسم ساده یا مرکب  در مشمولان عادی و دیپلم,"الف ) آستیگماتیسم ساده یا مرکب از 2.5 تا 4 دیوپتری داخل هریک از چشمها، خدمات غیررزمی 
ب ) مجموع دیوپترآستیگمات ساده یا مرکب از 5 تا 8 دیوپتر داخل، خدمات غیررزمی
ج ) آستیگماتیسم ساده یا مرکب بیش از 5 دیوپتری تا 6 دیوپترییک چشم، خدمات غیررزمی
د ) آستیگماتیسم ساده یا مرکب بیش از چهار دیوپتری هر یک از چشم ها، معاف دائم
ه ) چنانچه آستیگماتیسم ساده یا مرکب هر دو چشم در مجموع بیش از هشت دیوپتری باشد، معاف دائم
و) آستیگماتیسم ساده یا مرکب بیش از شش دیوپتری یک چشم، معاف دائم
تبصره - كراتوكون يا آستيگماتيسم نامنظم كه غير قابل اندازه گيري با كراتومتري باشد براي مشمولان عادي و ديپلم معاف دائم "
272,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,6,آستیگماتیسم ساده یا مرکب در مشمولان بالاتر از دیپلم,"آستیگماتیسم ساده یا مرکب با سایکلوپلژی کامل در مشمولان بالاتر از دیپلم:
الف) آستیگماتیسم ساده یا مرکب از 3 تا 5 دیوپتری داخل هر یک از دو چشم، خدمات غیررزمی
ب) مجموع دیوپتر آستیگماتیسم ساده یا مرکب هر دو چشم از 6 تا 10 دیوپتر داخل، خدمات غیررزمی
ج) آستیگماتیسم ساده یا مرکب بیش از 6 دیوپتری تا 7 دیوپتر داخل یک چشم، خدمات غیررزمی
د) آستیگماتیسم ساده یا مرکب بیش از 5 دیوپتری هر یک ازچشم ها، معاف دائم
ه) مجموع دیوپتر آستیگمات ساده یا مرکب هر دو چشم بیش از 10 دیوپتر، معاف دائم
و) آستیگماتیسم ساده یا مرکب بیش از هفت دیوپتری یک چشم، معاف دائم
تبصره - كراتوكون يا آستيگماتيسم نامنظم كه غير قابل اندازه گيري با كراتومتري باشد براي مشمولان بالاتر از ديپلم خدمات غير رزمي"
273,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,7,فقدان یک چشم,"فقدان یک چشم یا آن که یک چشم عملا و یا در اثربیماریهای غیرقابل علاج فاقد بینایی باشد، معاف دائم"
274,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,8,اورام ملتحمه فصلی شدید توأم با عوارض قرنیه,"اورام ملتحمه فصلی شدید توأم با عوارض قرنیه:
الف) در مشمولان عادی، معاف دائم
ب) در مشمولان دیپلم و بالاتر، خدمات غیررزمی"
275,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,9,عوارض تراخمی ملتحمه و پلک ,"عوارض تراخمی ملتحمه و پلک از قبیل سیمبلفارون گزروزیس آنتروپیون و اکتروپیون:
الف) در یک چشم، خدمات غیر رزمی
ب) در دو چشم، معاف دائم"
276,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,10,ناخنک پیشرفته,"ناخنک پیشرفته که تا مرکز قرنیه پیشرفت نموده باشد و با چشم غیر مسلح دیده شود، معاف دائم"
277,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,11,لک مرکزی قرنیه,"لک مرکزی قرنیه:
الف) در صورتی که وسیع باشد و مرکز قرنیه را اشغال نموده باشد (لک وسیع در موقعی است که بیش از 3 میلیمتر مربع سطح قرنیه را پوشانده باشد)، معاف دائم
ب) در موارد خفیف تر، خدمات غیررزمی"
278,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,12,کراتیت,"کراتیت دیستروفیک و انترستیسیل، یک یا دو چشم، معاف دائم"
279,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,13,کلوبوم مادرزادی همراه با کلوبوم رتین,"کلوبوم مادرزادی همراه با کلوبوم رتین:
الف) در یک یا دو چشم، معاف دائم
ب) بدون کلوبوم رتین، خدمات غیررزمی"
280,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,14,ایریدوسیکلیت,"ایریدوسیکلیت های شدید و مزمن یک یا دو چشم که تولید چسبندگی های وسیع در بیش از %257 مردمک نموده باشد، معاف دائم"
281,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,15,اکلوزیون و سیکلوزیون,"اکلوزیون و سیکلوزیون کامل مردمک، معاف دائم"
282,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,16,ایرید کتومی وسیع ,"ایرید کتومی وسیع حاصله از حوادث یا اعمال جراحی:
الف) در صورتی که با کاهش دید و عوارض قرنیه و عدسی توأم باشد، معاف دائم
ب) در صورتی که با کاهش دید و عوارض توأم نباشد، خدمات غیررزمی
تبصره - در ایرید کتومی های وسیع هر دو چشم به هر علت برای کلیه مشمولان، معافیت دائم"
283,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,17,کاتاراکت,"کاتاراکت مادرزادی، ضربه ای، متابولیک و کاتاراکت عمل شده، معاف دائم
تبصره - کدورتهای عدسی که ایجاد اختلال دید در رتینوسکوپی نمی نماید، خدمات غیررزمی"
284,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,18,کدورت زجاجیه,"کدورت وسیع زجاجیه به هر علت، معاف دائم"
285,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,19,کوریورتینیت,"کوریورتینیت مرکزی و یا منتشر مزمن یک یا دو چشم، معاف دائم"
286,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,20,رتینیت های پیگمانتوزا,"رتینیتهای پیگمانتوزا و آلبینیسم کامل یک یا دو چشم، معاف دائم"
287,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,21,لوکساسیون عدسی,"لوکساسیون کامل یا ناقص عدسی و یا فقدان عدسی یک چشم، معاف دائم"
288,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,22,انفصال شبکیه,"انفصال شبکیه عمل شده یا عمل نشده به هر علت، معاف دائم"
289,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,23,بیماری های عروقی چشم,"آمبولی شریان شاخهای و یا ترومبوز ورید شاخهای و یا هر نوع واسکولیت مزمن یک یا دو چشم، معاف دائم"
290,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,24,بیماری های عروقی چشم,"آمبولی شریان مرکزی و یا ترومبوز ورید مرکزی یک چشم، معاف دائم"
291,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,25,بیماری های ماکولا,"بیماری های ناحیه ماکولا و عصب باصره از قبیل آتروفی سوختگی سوراخ ماکولا و یا خونریزیهای ناحیه ماکولا و آتروفی عصب باصره، معاف دائم"
292,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,26,میکروفتالمی و بوفتالمی,"میکروفتالمی و بوفتالمی یک یا دو چشم، معاف دائم"
293,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,27,اگزوفتالمی,"اگزوفتالمی های تومورال یا پولساتیو یک یا دو چشم، معاف دائم"
294,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,28,فلج عضله چشم,"فلج کامل یک یا چند عضله چشم در صورتی که استقرار یافته و دائمی باشد، معاف دائم"
295,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,29,لاگوفتالمی,"لاگوفتالمی های مربوط به فلج عضلات پلکی، معاف دائم"
296,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,30,افتادگی دایمی پلک,"افتادگی دائمی پلک در صورتی که بیش از نصف مردمک چشم را پوشانیده باشد، معاف دائم"
297,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,31,استرابیسم,"استرابیسم آمبلیوپیک یک چشم و استرابیسم متناوب دوچشم، معاف دائم"
298,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,32,نیستاگموس,"نیستاگموس دائمی و مشهود، معاف دائم"
299,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,33,داکرپوسیستیت,"داکرپوسیستیت مزمن چرکی، معاف دائم"
300,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,34,گلوکوم,"گلوکوم مزمن و مطلق و گلوکوم حاد زاویه بسته و گلوکوم های عمل شده یک چشم، معاف دائم"
301,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,35,اجسام خارجی,"اجسام خارجی داخل کره چشم، معاف دائم"
302,1,1375,سیزدهم,41,سیزدهم (41),بیماریهای چشم و عوارض بینایی,36,پیوند قرنیه,"پیوند قرنیه، معاف دائم"
